Game Date,Game Time,Elapsed Time,Score,Accuracy
2024-06-07,2024-06-07 08:26:36.554208,32.9,3140,0
2024-06-07,2024-06-07 08:28:29.249875,33.3,3698,0
2024-06-07,2024-06-07 08:30:05.086528,52.9,5000,0
2024-06-07,2024-06-07 08:34:08.355125,19.3,2594,0
2024-06-07,2024-06-07 08:36:14.968842,12.7,1834,0
2024-06-07,2024-06-07 08:38:10.914655,26.3,3814,0
2024-06-07,2024-06-07 08:39:32.286809,18.3,3156,0
2024-06-07,2024-06-07 08:40:10.684401,22.3,2520,0
2024-06-07,2024-06-07 08:41:22.638562,24.2,3046,0
2024-06-07,2024-06-07 08:43:28.437848,26.1,2212,0.5
